match_id,batting_team,bowling_team,city,final_score,outcome,bat_first
2023-12-19,India,South Africa,Gqeberha,211,0,1
2010-11-28,India,New Zealand,Guwahati,276,1,1
2009-02-01,Australia,New Zealand,Perth,181,0,1
2021-03-09,South Africa,India,Lucknow,157,0,1
2022-06-11,Nepal,United States of America,Pearland,274,0,1
2023-06-04,United Arab Emirates,West Indies,Sharjah,202,0,1
2013-10-16,Australia,India,Jaipur,359,0,1
2022-11-22,Papua New Guinea,United States of America,Windhoek,149,0,1
2018-10-03,South Africa,Zimbabwe,Bloemfontein,198,1,1
2022-09-21,Namibia,Papua New Guinea,Port Moresby,214,1,1
2019-12-22,West Indies,India,Cuttack,315,0,1
2019-06-28,Sri Lanka,South Africa,Chester-le-Street,203,0,1
2017-07-02,West Indies,South Africa,Leicester,48,0,1
2019-03-08,Australia,India,Ranchi,313,1,1
2009-01-24,Sri Lanka,Pakistan,Lahore,309,1,1
2013-02-01,West Indies,Australia,Perth,70,0,1
2015-05-26,Pakistan,Zimbabwe,Lahore,375,1,1
2003-03-01,Kenya,Bangladesh,Johannesburg,217,1,1
2024-08-15,Netherlands,United States of America,The Hague,237,1,1
2003-01-15,Sri Lanka,Australia,Brisbane,211,0,1
2005-02-04,England,South Africa,Port Elizabeth,267,0,1
2009-11-05,Australia,India,Hyderabad,350,1,1
2011-12-03,Pakistan,Bangladesh,Mirpur,262,1,1
2010-03-05,England,Bangladesh,Chittagong,284,1,1
2015-02-21,West Indies,Pakistan,Christchurch,310,1,1
2014-08-23,Sri Lanka,Pakistan,Hambantota,275,0,1
2007-03-19,India,Bermuda,Trinidad,413,1,1
2021-03-28,India,England,Pune,329,1,1
2016-06-24,Sri Lanka,England,Birmingham,254,0,1
2017-09-19,West Indies,England,Manchester,204,0,1
2018-02-13,India,South Africa,Port Elizabeth,274,1,1
2003-10-26,India,Australia,Gwalior,283,1,1
2007-04-02,Bangladesh,New Zealand,Antigua,174,0,1
2013-10-29,Bangladesh,New Zealand,Mirpur,265,1,1
2023-03-09,Nepal,Papua New Guinea,Kirtipur,297,1,1
2003-09-21,Pakistan,Bangladesh,Karachi,302,1,1
2023-12-17,Zimbabwe,Ireland,Harare,197,0,1
2005-01-21,West Indies,Australia,Brisbane,263,0,1
2024-02-19,Namibia,Netherlands,Kirtipur,123,0,1
2019-01-03,New Zealand,Sri Lanka,Mount Maunganui,371,1,1
2019-06-21,Zimbabwe,Netherlands,Deventer,290,0,1
2017-09-24,England,West Indies,Bristol,369,1,1
2021-07-09,Pakistan,West Indies,Coolidge,120,0,1
2011-06-06,West Indies,India,Trinidad,214,0,1
2015-09-03,Australia,England,Southampton,305,1,1
2007-04-08,England,Australia,Antigua,247,0,1
2021-10-09,Zimbabwe,Ireland,Harare,178,0,1
2014-01-31,New Zealand,India,Wellington,303,1,1
2006-07-01,England,Sri Lanka,Leeds,321,0,1
2016-10-05,Pakistan,West Indies,Abu Dhabi,308,1,1
2019-08-18,Scotland,Oman,Aberdeen,223,1,1
2018-09-16,South Africa,West Indies,Barbados,201,1,1
