match_id,final_score,batting_team,bowling_team,city,actual_outcome,predicted_outcome,batting_team_win_prob
596,268,India,West Indies,Manchester,1,1,0.7283333333333333
1992,414,India,Sri Lanka,Rajkot,1,1,0.98
422,272,South Africa,Zimbabwe,Canterbury,1,1,0.88
289,354,India,Australia,Nagpur,1,1,0.57
196,361,South Africa,Australia,Johannesburg,1,1,0.97
792,337,South Africa,Ireland,Potchefstroom,1,1,0.81
856,232,Zimbabwe,West Indies,Bulawayo,0,1,0.63
1474,296,Australia,England,Nottingham,1,1,0.84
1975,279,South Africa,West Indies,Durban,1,1,0.82
1627,318,New Zealand,England,Perth,1,1,0.715
999,202,England,Pakistan,Cardiff,0,0,0.14
973,200,India,England,Perth,0,0,0.28
1677,154,South Africa,Bangladesh,Centurion,0,0,0.21
1574,418,England,West Indies,St George's,1,1,0.78
2048,112,Zimbabwe,Thailand,Bangkok,0,0,0.0
70,213,Sri Lanka,India,Mirpur,0,0,0.19
1723,249,Ireland,Canada,Dublin,1,1,0.67
1185,188,South Africa,West Indies,Guyana,0,0,0.46
1772,229,Australia,England,Melbourne,1,0,0.46
2101,270,Australia,England,Leeds,1,1,0.69
1336,187,India,England,Southampton,0,0,0.21
1406,271,England,Pakistan,Southampton,0,1,0.83
324,188,Sri Lanka,New Zealand,Christchurch,0,0,0.03
1466,258,India,Sri Lanka,Colombo,1,1,0.84
211,195,Pakistan,Zimbabwe,Harare,1,0,0.38
1055,288,Bangladesh,New Zealand,Hamilton,0,0,0.47
1448,182,West Indies,India,Perth,0,0,0.01
1907,235,South Africa,West Indies,East London,1,0,0.47
1689,336,South Africa,Kenya,Bloemfontein,1,1,0.89
1697,351,South Africa,Zimbabwe,Bloemfontein,1,1,0.94
1414,216,Bangladesh,Zimbabwe,Dhaka,1,0,0.46
787,215,Sri Lanka,India,Kolkata,0,0,0.11
408,258,New Zealand,Australia,Pune,0,0,0.44
254,338,India,England,Bangalore,0,1,0.7033333333333335
1521,277,Bangladesh,England,Chittagong,0,0,0.36333333333333334
630,290,Australia,India,Hyderabad,1,1,0.68
869,303,New Zealand,Pakistan,Abu Dhabi,1,1,0.97
486,336,Australia,New Zealand,Auckland,0,1,0.64
554,205,Papua New Guinea,Scotland,Aberdeen,0,0,0.19
1995,367,Australia,Pakistan,Bengaluru,1,1,0.84
237,260,Namibia,Papua New Guinea,Lauderhill,1,1,0.92
1872,183,Bangladesh,Zimbabwe,Harare,0,0,0.33
1645,251,England,Sri Lanka,Southampton,1,1,0.63
290,214,Sri Lanka,Australia,Melbourne,0,0,0.16
479,274,Sri Lanka,India,Ahmedabad,0,1,0.53
583,177,Pakistan,Bangladesh,Chittagong,1,0,0.09
543,307,Sri Lanka,South Africa,Colombo,1,1,0.96
1170,274,India,South Africa,Christchurch,0,1,0.62
1176,147,Sri Lanka,Bangladesh,Mirpur,0,0,0.07
275,235,South Africa,Sri Lanka,Dambulla,0,1,0.62
29,204,West Indies,England,Manchester,0,0,0.1
1202,244,Sri Lanka,India,Vadodara,0,0,0.3
281,198,Oman,Canada,King City,0,0,0.29
184,214,Australia,England,London,0,1,0.61
1628,256,South Africa,England,Johannesburg,0,0,0.26
233,168,Australia,New Zealand,Brisbane,0,0,0.29
1616,401,India,South Africa,Gwalior,1,1,0.92
741,268,Australia,Pakistan,Brisbane,1,1,0.84
1619,249,Australia,England,London,1,1,0.8
1713,207,West Indies,New Zealand,Mumbai,1,0,0.24
1360,257,Sri Lanka,England,London,1,0,0.4
1639,277,Australia,England,London,1,1,0.94
812,252,Zimbabwe,New Zealand,Bloemfontein,0,0,0.34
2031,115,Sri Lanka,Australia,Brisbane,0,0,0.01
862,84,Ireland,West Indies,Dublin,0,0,0.02
67,241,West Indies,New Zealand,St Kitts,1,1,0.51
128,259,Australia,England,Bristol,1,0,0.29
544,154,Thailand,Zimbabwe,Bangkok,1,0,0.27
994,194,India,Australia,Brisbane,0,0,0.29
51,201,South Africa,West Indies,Barbados,1,0,0.31
1420,226,Bangladesh,New Zealand,Christchurch,0,0,0.16
1679,277,Oman,Papua New Guinea,Dubai,1,1,0.91
607,209,Zimbabwe,Bangladesh,Mirpur,1,1,0.58
1896,177,India,South Africa,Lucknow,0,0,0.08
1973,122,Ireland,Sri Lanka,Belfast,0,0,0.06
299,244,Zimbabwe,Pakistan,Faisalabad,0,0,0.2
2111,219,Papua New Guinea,Namibia,Lauderhill,0,0,0.33
231,308,Pakistan,West Indies,Guyana,0,1,0.99
367,273,England,Sri Lanka,Leicester,1,1,0.51
1740,123,England,New Zealand,Wellington,0,0,0.03
307,112,West Indies,Pakistan,Mirpur,0,0,0.19
1920,278,Pakistan,Zimbabwe,Sharjah,1,0,0.5
997,317,Australia,India,Nagpur,1,0,0.31
