Player,Team,Win % w/ player,Games with player,Win % w/out player,Games without player,Ratio
P Baron,Argentina,38.46,13,48.57,7579,0.79
A Kirschbaum,Argentina,38.46,13,48.57,7579,0.79
T Rossi,Argentina,38.46,13,48.57,7579,0.79
H Fennell,Argentina,38.46,13,48.57,7579,0.79
A Ferguson,Argentina,33.33,12,48.58,7580,0.69
S Molineux,Australia,84.21,38,48.37,7554,1.74
RM Farrell,Australia,82.76,29,48.42,7563,1.71
A King,Australia,81.82,22,48.45,7570,1.69
G Wareham,Australia,80.95,63,48.28,7529,1.68
TJ Vlaeminck,Australia,80,20,48.47,7572,1.65
Aqib Iqbal,Austria,64,25,48.5,7567,1.32
Abdullah Akbarjan,Austria,61.9,21,48.51,7571,1.28
M Simpson-Parker,Austria,61.11,18,48.52,7574,1.26
Mirza Ahsan,Austria,57.89,19,48.53,7573,1.19
Sahel Zadran,Austria,57.89,19,48.53,7573,1.19
P Kurup,Bahrain,70,10,48.52,7582,1.44
Waseeq Ahmed,Bahrain,66.67,12,48.52,7580,1.37
Sachin Kumar,Bahrain,54.55,11,48.54,7581,1.12
Junaid Aziz,Bahrain,53.12,32,48.53,7560,1.09
Umer Imtiaz,Bahrain,51.85,27,48.54,7565,1.07
Rony Talukdar,Bangladesh,60,10,48.54,7582,1.24
Sanjida Akter Meghla,Bangladesh,58.82,17,48.53,7575,1.21
Hasan Mahmud,Bangladesh,58.82,17,48.53,7575,1.21
Shamima Sultana,Bangladesh,57.69,52,48.49,7540,1.19
Sanjida Islam,Bangladesh,57.58,33,48.51,7559,1.19
Muhammad Muneeb,Belgium,70.59,17,48.5,7575,1.46
Khalid Ahmadi,Belgium,65,20,48.51,7572,1.34
Saber Zakhil,Belgium,62.5,24,48.51,7568,1.29
Sheraz Sheikh,Belgium,60,20,48.52,7572,1.24
Shaheryar Butt,Belgium,59.09,22,48.52,7570,1.22
Z Burgess,Bermuda,90.91,11,48.49,7581,1.87
T Manders,Bermuda,85.71,14,48.48,7578,1.77
D Sabir,Bermuda,84.62,13,48.49,7579,1.75
S Smith,Bermuda,78.95,19,48.47,7573,1.63
TS Fray,Bermuda,70,20,48.49,7572,1.44
GK Ghalley,Bhutan,57.14,14,48.54,7578,1.18
S Loday,Bhutan,53.85,13,48.54,7579,1.11
J Singye,Bhutan,53.85,13,48.54,7579,1.11
Namgay Thinley,Bhutan,47.62,21,48.55,7571,0.98
S Pradhan,Bhutan,47.62,21,48.55,7571,0.98
W Moutswi,Botswana,46.67,15,48.55,7577,0.96
K Inakale,Botswana,46.15,13,48.56,7579,0.95
P Mapotsane,Botswana,42.11,19,48.57,7573,0.87
V Balakrishnan,Botswana,40,20,48.57,7572,0.82
K Motlanka,Botswana,40,20,48.57,7572,0.82
RD de Sousa,Brazil,40,10,48.56,7582,0.82
RMAM Avery,Brazil,36.36,11,48.57,7581,0.75
L Agatha,Brazil,36.36,11,48.57,7581,0.75
NC Monteiro,Brazil,36.36,11,48.57,7581,0.75
LV Boas,Brazil,30,10,48.58,7582,0.62
Ahsan Khan,Bulgaria,50,10,48.55,7582,1.03
M Kadyan,Bulgaria,45.45,11,48.56,7581,0.94
Saim Hussain,Bulgaria,43.75,16,48.56,7576,0.9
Asad Ali Rehemtulla,Bulgaria,43.75,16,48.56,7576,0.9
DV Varghese,Bulgaria,40.91,22,48.57,7570,0.84
Lakshit Gupta,Cambodia,42.86,14,48.56,7578,0.88
GC Murtaza,Cambodia,42.86,14,48.56,7578,0.88
US Hathinjar,Cambodia,40,15,48.57,7577,0.82
RR Sharan,Cambodia,40,15,48.57,7577,0.82
Luqman Butt,Cambodia,40,15,48.57,7577,0.82
BMA Mbida,Cameroon,20,10,48.59,7582,0.41
AN Aminou,Cameroon,20,10,48.59,7582,0.41
FJ Mpegna,Cameroon,20,10,48.59,7582,0.41
MSN Ekani,Cameroon,18.18,11,48.6,7581,0.37
B Waluma,Cameroon,16.67,12,48.6,7580,0.34
M Spoors,Canada,70,10,48.52,7582,1.44
Ravinderpal Singh,Canada,65.62,32,48.48,7560,1.35
Kaleem Sana,Canada,62.96,27,48.5,7565,1.3
