Team,Player,Total Runs
India,V Kohli,13784
India,RG Sharma,10646
India,MS Dhoni,10274
India,Yuvraj Singh,6868
India,S Dhawan,6733
South Africa,AB de Villiers,9435
South Africa,HM Amla,7834
South Africa,Q de Kock,6661
South Africa,F du Plessis,5445
South Africa,GC Smith,5280
New Zealand,LRPL Taylor,8126
New Zealand,MJ Guptill,7125
New Zealand,KS Williamson,6699
New Zealand,BB McCullum,5157
New Zealand,TWM Latham,4018
Australia,MJ Clarke,6988
Australia,RT Ponting,6979
Australia,DA Warner,6623
Australia,SPD Smith,5549
Australia,SR Watson,5357
Nepal,RK Paudel,1629
Nepal,Aasif Sheikh,1423
Nepal,K Bhurtel,1182
Nepal,Aarif Sheikh,1032
Nepal,DS Airee,861
United States of America,SR Taylor,3173
United States of America,MD Patel,1792
United States of America,Aaron Jones,1556
United States of America,G Singh,938
United States of America,SJ Modani,898
United Arab Emirates,V Aravind,1843
United Arab Emirates,Rohan Mustafa,1401
United Arab Emirates,Waseem Muhammad,1398
United Arab Emirates,Asif Khan,1155
United Arab Emirates,Basil Hameed,1051
West Indies,CH Gayle,6433
West Indies,SD Hope,4883
West Indies,MN Samuels,4205
West Indies,S Chanderpaul,3804
West Indies,RR Sarwan,3717
Papua New Guinea,A Vala,1783
Papua New Guinea,TP Ura,1196
Papua New Guinea,CJA Amini,952
Papua New Guinea,S Bau,874
Papua New Guinea,N Vanua,769
Zimbabwe,BRM Taylor,5130
Zimbabwe,SC Williams,4196
Zimbabwe,H Masakadza,3955
Zimbabwe,Sikandar Raza,3373
Zimbabwe,E Chigumbura,3266
Namibia,MG Erasmus,1810
Namibia,M van Lingen,1300
Namibia,JJ Smit,839
Namibia,JN Loftie-Eaton,796
Namibia,ZE Green,686
Sri Lanka,KC Sangakkara,11618
Sri Lanka,TM Dilshan,9212
Sri Lanka,DPMD Jayawardene,8040
Sri Lanka,WU Tharanga,6482
Sri Lanka,AD Mathews,5646
England,EJG Morgan,6953
England,JE Root,6394
England,IR Bell,5289
England,JC Buttler,5018
England,JJ Roy,4237
Pakistan,Mohammad Hafeez,6351
Pakistan,Shoaib Malik,5981
Pakistan,Babar Azam,5511
Pakistan,Younis Khan,4777
Pakistan,Misbah-ul-Haq,4752
Kenya,TM Odoyo,830
Kenya,CO Obuya,737
Kenya,SO Tikolo,705
Kenya,AA Obanda,487
Kenya,MA Ouma,468
Bangladesh,Tamim Iqbal,7648
Bangladesh,Mushfiqur Rahim,7094
Bangladesh,Shakib Al Hasan,6638
Bangladesh,Mahmudullah,4931
Bangladesh,Mohammad Ashraful,2301
Netherlands,MP O'Dowd,1682
Netherlands,SA Edwards,1504
Netherlands,Vikramjit Singh,1190
Netherlands,BFW de Leede,1027
Netherlands,W Barresi,820
Bermuda,DL Hemp,268
Bermuda,LOB Cann,214
Bermuda,JJ Tucker,203
Bermuda,IH Romaine,175
Bermuda,J Edness,119
Ireland,PR Stirling,3338
Ireland,WTS Porterfield,2670
Ireland,A Balbirnie,2438
Ireland,KJ O'Brien,1990
Ireland,EC Joyce,1845
Scotland,RD Berrington,2292
Scotland,KJ Coetzer,2280
Scotland,CS MacLeod,2015
Scotland,MH Cross,1675
Scotland,HG Munsey,1675
Oman,Jatinder Singh,1356
Oman,Zeeshan Maqsood,1196
Oman,Aqib Ilyas,1191
Oman,KH Prajapati,996
Oman,Ayan Khan,948
Thailand,N Chantam,473
Thailand,N Chaiwai,244
Thailand,N Koncharoenkai,120
Thailand,R Kanoh,100
Thailand,S Tippoch,89
Hong Kong,Babar Hayat,539
Hong Kong,Nizakat Khan,508
Hong Kong,Anshuman Rath,393
Hong Kong,Tanwir Afzal,161
Hong Kong,Aizaz Khan,143
Canada,Pargat Singh,722
Canada,A Bagai,614
Canada,H Thaker,612
Canada,NR Kirton,483
Canada,JM Davison,443
Africa XI,HH Dippenaar,1283
Africa XI,JM Kemp,1226
Jersey,AM Tribe,233
Jersey,JAD Lawrenson,177
Jersey,H Carlyon,125
Jersey,JW Jenner,119
Jersey,J Sumerauer,84
