Team,Player,Total Runs
India,RG Sharma,4042
India,V Kohli,3969
India,S Mandhana,3270
India,H Kaur,2700
India,SA Yadav,2515
Sri Lanka,AC Jayangani,2897
Sri Lanka,MDKJ Perera,1907
Sri Lanka,TM Dilshan,1747
Sri Lanka,BKG Mendis,1732
Sri Lanka,H Madavi,1514
West Indies,SR Taylor,2783
West Indies,HK Matthews,2511
West Indies,N Pooran,2149
West Indies,CH Gayle,1932
West Indies,DJS Dottin,1758
South Africa,Q de Kock,2534
South Africa,DA Miller,2467
South Africa,RR Hendricks,2117
South Africa,L Wolvaardt,1923
South Africa,JP Duminy,1880
Scotland,HG Munsey,1988
Scotland,RD Berrington,1766
Scotland,SJ Bryce,1278
Scotland,KE Bryce,1273
Scotland,KJ Coetzer,1210
Bermuda,DMW Rawlins,722
Bermuda,KS Leverock,701
Bermuda,T Manders,427
Bermuda,AC Douglas,334
Bermuda,TS Fray,216
Mongolia,M Vivekanandan,75
Mongolia,T Amarmend,69
Mongolia,O Erdenebaatar,52
Mongolia,G Ganbold,44
Mongolia,O Lutbayar,40
China,Zhang Mei,134
China,C Zhou,131
China,Sun Meng Yao,114
China,Han Lili,111
China,Huang Zhuo,110
New Zealand,MJ Guptill,3517
New Zealand,SW Bates,3033
New Zealand,SFM Devine,2597
New Zealand,KS Williamson,2537
New Zealand,BB McCullum,2145
England,JC Buttler,3309
England,DN Wyatt,2774
England,EJG Morgan,2443
England,AD Hales,2024
England,HC Knight,1969
Australia,DA Warner,3254
Australia,AJ Finch,3120
Australia,BL Mooney,2958
Australia,AJ Healy,2727
Australia,MM Lanning,2538
Estonia,Ali Masood,409
Estonia,Sahil Chauhan,382
Estonia,Bilal Masud,356
Estonia,S Gooch,282
Estonia,Habib Khan,260
Cyprus,S Austin,256
Cyprus,CPPM Sadun,255
Cyprus,R Mazumder,222
Cyprus,NK Tiwari,190
Cyprus,Gurpratap Singh,187
Portugal,Kuldeep,377
Portugal,Najjam Shahzad,302
Portugal,Suman Ghimire,265
Portugal,Azhar Andani,258
Portugal,Amir Zaib,243
Spain,Yasir Ali,590
Spain,D Doyle-Calle,570
Spain,Hamza Dar,534
Spain,Mohammad Ihsan,460
Spain,C Munoz-Mills,254
Kuwait,R Sandaruwan,1277
Kuwait,Meet Bhavsar,1168
Kuwait,Usman Patel,910
Kuwait,MNM Aslam,567
Kuwait,Bilal Tahir,518
Hong Kong,Nizakat Khan,1896
Hong Kong,Babar Hayat,1721
Hong Kong,M Hill,1194
Hong Kong,Anshuman Rath,1011
Hong Kong,Aizaz Khan,945
Ireland,PR Stirling,2920
Ireland,GH Lewis,2147
Ireland,A Balbirnie,2028
Ireland,KJ O'Brien,1571
Ireland,O Prendergast,1159
Swaziland,Muhammad Amin,70
Swaziland,J Ghadiyali,59
Swaziland,Shehzad Patel,35
Swaziland,M Magagula,35
Swaziland,JJ Wright,32
Seychelles,SKDT Madusanka,224
Seychelles,Mazharul Islam,220
Seychelles,STRA de Silva,116
Seychelles,TKP Rajapaksha,88
Seychelles,T Rajiv,83
Belize,BS Stephenson,74
Belize,KJ Young,70
Belize,Garret Banner,62
Belize,C Brown,46
Belize,GG Banner,43
United States of America,AGS Gous,693
United States of America,NR Kumar,673
United States of America,Aaron Jones,618
United States of America,MD Patel,555
United States of America,S Sriharsha,415
Tanzania,II Selemani,1221
Tanzania,AR Patwa,1020
Tanzania,AP Rajeevan,848
Tanzania,K Nassoro,783
Tanzania,FO Kibasu,651
Uganda,S Sesazi,1847
Uganda,Riazat Ali Shah,1226
Uganda,RG Mukasa,993
Uganda,DM Nakrani,843
Uganda,RB Patel,781
United Arab Emirates,ER Oza,2027
United Arab Emirates,KKN Egodage,1643
United Arab Emirates,Waseem Muhammad,1600
United Arab Emirates,Theertha Satish,1582
United Arab Emirates,V Aravind,821
Nepal,DS Airee,1678
Nepal,K Bhurtel,1264
Nepal,RK Paudel,1240
Nepal,Aasif Sheikh,1234
Nepal,Kushal Malla,879
Thailand,N Koncharoenkai,1246
Thailand,N Chantam,1107
Thailand,N Chaiwai,1062
Thailand,C Sutthiruang,622
Thailand,N Boochatham,553
Bangladesh,Shakib Al Hasan,2295
Bangladesh,Mahmudullah,2223
Bangladesh,Nigar Sultana,1879
Bangladesh,Liton Das,1777
Bangladesh,Tamim Iqbal,1624
Norway,Raza Iqbal,366
Norway,Khizer Ahmed,311
Norway,Walid Ghauri,297
Norway,D Abeyrathna,276
Norway,Sher Sahak,249
Guernsey,J Butler,625
Guernsey,MWR Stokes,479
Guernsey,T Nightingale,371
Guernsey,IDA Damarell,327
Guernsey,LB Ferbrache,241
Kenya,CO Obuya,1439
Kenya,RR Patel,1388
Kenya,IA Karim,1055
Kenya,Q Abel,902
Kenya,RN Patel,797
Nigeria,JO Adedeji,668
Nigeria,Sulaimon Runsewe,664
Nigeria,IO Okpe,446
Nigeria,S Sunday,403
Nigeria,AA Onikoyi,372
Denmark,HAM Shah,891
Denmark,T Bharaj,587
Denmark,SA Ahmad,559
Denmark,ND Laegsgaard,484
Denmark,Surya Anand,354
Italy,M Campopiano,461
Italy,G Stewart,360
Italy,AJ Mosca,313
Italy,EL Bartram,308
Italy,GP Meade,302
Netherlands,MP O'Dowd,1828
Netherlands,BN Cooper,1127
Netherlands,SL Kalis,1103
Netherlands,B de Leede,875
Netherlands,SA Edwards,870
Finland,VS Padhaal,372
Finland,NG Collins,311
Finland,AK Mohan,260
Finland,Amjad Sher,255
Finland,Atif Rasheed,202
Sweden,A Venkatesh,260
Sweden,Hamid Mahmood,225
Sweden,Umar Nawaz,189
Sweden,W Boshoff,175
