match_id,batting_team,bowling_team,city,final_score,outcome,bat_first
2024-07-30,India,Sri Lanka,Kandy,137,0,1
2023-03-26,West Indies,South Africa,Centurion,258,0,1
2019-10-24,Scotland,Bermuda,Dubai,204,1,1
2024-11-07,Mongolia,China,Hangzhou,52,0,1
2021-03-03,New Zealand,England,Wellington,96,0,1
2016-03-24,Sri Lanka,Australia,Delhi,123,0,1
2021-10-05,Estonia,Cyprus,Episkopi,102,0,1
2022-07-01,Portugal,Spain,Ghent,77,0,1
2022-08-23,Kuwait,Hong Kong,Al Amarat,151,0,1
2009-06-14,Sri Lanka,Ireland,London,144,1,1
2021-10-20,Swaziland,Seychelles,Kigali City,128,0,1
2021-11-07,Belize,United States of America,Coolidge,64,0,1
2018-02-07,England,Australia,Hobart,155,0,1
2018-11-22,India,England,Antigua,112,0,1
2019-06-18,Tanzania,Uganda,Kigali City,113,1,1
2019-07-31,England,Australia,Bristol,139,1,1
2022-02-13,United Arab Emirates,Ireland,Al Amarat,178,1,1
2022-05-16,Uganda,Nepal,Kirtipur,102,1,1
2024-02-16,United Arab Emirates,Thailand,Kuala Lumpur,70,1,1
2022-12-04,New Zealand,Bangladesh,Dunedin,148,1,1
2024-08-11,Norway,Guernsey,Oslo,141,0,1
2024-06-02,Kenya,Nigeria,Kigali City,115,1,1
2024-03-30,South Africa,Sri Lanka,Potchefstroom,137,0,1
2019-06-20,Denmark,Italy,Castel,158,1,1
2016-03-23,South Africa,Ireland,Chennai,156,1,1
2022-12-02,Netherlands,Thailand,Chiang Mai,73,0,1
2012-02-22,England,New Zealand,Auckland,108,1,1
2021-08-22,Finland,Sweden,Kerava,141,0,1
2010-05-13,India,Australia,St Lucia,119,0,1
2021-07-28,India,Sri Lanka,Colombo,132,0,1
2023-08-31,Kuwait,China,Kuala Lumpur,83,1,1
2019-12-07,Maldives,Nepal,Pokhara,8,0,1
2023-07-12,New Zealand,Sri Lanka,Colombo,140,0,1
2020-02-28,South Africa,Thailand,Canberra,195,1,1
2024-05-24,Ireland,Netherlands,The Hague,161,1,1
2023-07-23,Japan,Vanuatu,Port Moresby,131,1,1
2014-04-03,Sri Lanka,West Indies,Mirpur,160,1,1
2024-03-05,Kuwait,Bahrain,Kuala Lumpur,123,0,1
2024-03-08,Nigeria,Namibia,Accra,111,1,1
2022-07-13,Croatia,Sweden,Kerava,69,0,1
2023-11-22,Zimbabwe,Namibia,Windhoek,132,0,1
2023-02-12,Pakistan,India,Cape Town,149,0,1
2021-10-22,Netherlands,Sri Lanka,Sharjah,44,0,1
2024-08-21,Spain,Cyprus,Castel,152,1,1
2024-03-09,Sri Lanka,Bangladesh,Sylhet,174,1,1
2022-07-20,New Zealand,Ireland,Belfast,179,1,1
2019-02-22,Malaysia,China,Bangkok,63,0,1
2024-08-28,Denmark,Guernsey,Castel,158,0,1
2022-05-13,Romania,Czech Republic,Marsa,193,1,1
2017-09-12,Pakistan,ICC World XI,Lahore,197,1,1
2021-01-29,Pakistan,South Africa,Durban,124,0,1
2024-10-04,Indonesia,Philippines,Incheon,101,1,1
2015-07-09,United Arab Emirates,Scotland,Edinburgh,109,0,1
2023-04-25,United Arab Emirates,Uganda,Windhoek,120,1,1
2019-10-26,Gibraltar,Spain,Murcia,98,0,1
2022-11-24,Rwanda,Seychelles,Kigali City,122,1,1
2022-10-27,India,Netherlands,Sydney,179,1,1
2024-06-19,Cyprus,Estonia,Episkopi,125,1,1
2022-12-18,Malaysia,Singapore,Bangi,207,1,1
2022-03-24,Oman,Kuwait,Al Amarat,128,1,1
2022-10-11,Pakistan,New Zealand,Christchurch,130,0,1
2016-07-05,Sri Lanka,England,Southampton,140,0,1
2024-08-22,Finland,Estonia,Castel,142,0,1
2021-03-07,Sri Lanka,West Indies,Coolidge,131,0,1
2023-02-19,West Indies,Pakistan,Paarl,116,1,1
2018-06-09,Pakistan,India,Kuala Lumpur,72,0,1
2023-07-15,Malta,Switzerland,Marsa,156,0,1
2024-10-22,Kuwait,Myanmar,Singapore,136,1,1
